id_x,budget,popularity,revenue,title,avg_rating,rate_count,year,month,day,director_name,gender,movie_expense,profit,movie_performance,total_profit,director_performance,directors_rank,Release_Season,day_type,avg_profit_per_year,avg_total_profit_per_year
43946,90.0,43,188.13,The Secret Life of Walter Mitty,7.0,3144,2013,Dec,Wednesday,Ben Stiller,Male,28.6,98.13,Normal,288.78,Normal,124.0,Winter,Weekday,100.15491228070175,899.7371929824561
43947,92.0,40,264.11,Charlie's Angels,5.6,1232,2000,Nov,Thursday,McG,Male,-3.0,172.11,Normal,577.76,Normal,76.0,Autumn,Weekday,79.02983050847457,747.7103389830509
43948,90.0,63,289.85,The Departed,7.9,4339,2006,Oct,Thursday,Martin Scorsese,Male,41.363157894736844,199.85000000000002,Normal,1029.52,Normal,37.0,Autumn,Weekday,80.45287671232877,673.7645205479452
43950,92.0,43,188.07,Tropic Thunder,6.5,1667,2008,Aug,Saturday,Ben Stiller,Male,30.6,96.07,Normal,288.78,Normal,124.0,Summer,Weekend,97.81507462686567,777.1591044776119
43951,90.0,47,232.62,The Girl with the Dragon Tattoo,7.2,2434,2011,Dec,Wednesday,David Fincher,Male,25.0,142.62,Normal,1489.3400000000001,Normal,24.0,Winter,Weekday,96.11925373134328,946.4002985074627
43952,90.0,51,366.1,Die Hard: With a Vengeance,6.9,2066,1995,May,Friday,John McTiernan,Male,28.1,276.1,Normal,551.41,Normal,82.0,Spring,Weekday,72.99666666666667,826.0618181818182
43953,90.0,57,524.03,Sherlock Holmes,7.0,5766,2009,Dec,Wednesday,Guy Ritchie,Male,42.949999999999996,434.03,Blockbuster,751.25,Normal,55.0,Winter,Weekday,120.02454545454545,822.805606060606
43957,75.0,38,200.28,Valkyrie,6.7,1173,2008,Dec,Thursday,Bryan Singer,Male,-69.875,125.28,Normal,1649.2299999999998,Normal,21.0,Winter,Weekday,97.81507462686567,777.1591044776119
43958,90.0,40,201.6,You Don't Mess with the Zohan,5.5,1048,2008,Jun,Thursday,Dennis Dugan,Male,33.31111111111111,111.6,Normal,869.76,Normal,47.0,Summer,Weekday,97.81507462686567,777.1591044776119
43959,88.0,140,243.64,Pixels,5.6,2513,2015,Jul,Thursday,Chris Columbus,Male,26.454545454545453,155.64,Normal,3048.6400000000003,Best,6.0,Summer,Weekday,131.90341463414634,1011.5417073170731
